Iteration,Vx Vel,Vy Vel,Vz Vel,Pressure,Temp,TKE,TED,Scalar
264,7224.6,12879.3,18746.3,46.9029,49.4474,1.72E+06,6.95E+08,0
265,7275.01,11370.2,10284.2,47.2884,49.4022,1.51E+06,6.48E+08,0
266,7367.04,10445.9,9965.01,47.6063,49.3641,1.46E+06,6.36E+08,0
267,7432.88,10837,9062.59,48.7258,49.3311,1.44E+06,6.30E+08,0
268,7568.27,8130.66,10208.9,47.6837,49.2983,1.43E+06,6.25E+08,0
269,7529.29,10586.8,9533.4,47.5751,49.2618,1.45E+06,6.37E+08,0
270,7522.36,7969.74,10273.2,47.3836,49.2327,1.46E+06,6.44E+08,0
271,7474.95,9700.99,9258.32,47.1357,49.2108,1.45E+06,6.39E+08,0
272,7421.5,8313.63,9669,45.6272,49.1827,1.43E+06,6.25E+08,0
273,7341.23,8385.82,9683.87,46.2029,49.1585,1.48E+06,6.24E+08,0
274,7232.08,9389.7,9537.62,46.553,49.1299,1.47E+06,6.27E+08,0
275,7111.71,6754.37,9589.92,47.1379,49.1032,1.44E+06,6.17E+08,0
276,6979.4,7931.08,9918.98,47.5968,49.086,1.47E+06,6.49E+08,0
277,6825.07,6827.75,9460.04,46.8124,49.0781,1.44E+06,6.28E+08,0
278,6702.81,6974.92,9733.68,46.3464,49.0523,1.45E+06,6.39E+08,0
279,6595.35,7414.13,9975.64,45.9731,49.0336,1.49E+06,8.01E+08,0
280,6708.97,6314.02,10038.7,46.1613,49.0154,1.52E+06,6.83E+08,0
281,6894.52,6436.8,9848.91,46.3251,48.9994,1.51E+06,6.75E+08,0
282,7075.36,5999.97,9227.13,47.2097,48.9752,1.46E+06,6.44E+08,0
283,8842.7,6024.62,9212.78,47.3821,48.9602,1.40E+06,6.05E+08,0
284,10173.6,6055.99,9214.9,47.4444,48.9466,1.38E+06,7.37E+08,0
285,8861.71,6143.93,9140.75,47.9395,48.927,1.37E+06,5.85E+08,0
286,8993.19,6243.05,9137.46,47.809,48.9174,1.39E+06,5.97E+08,0
287,9292.28,6295.37,9007.33,48.316,48.9002,1.35E+06,5.75E+08,0
288,8338.83,6336.9,9252.1,48.0071,48.8859,1.35E+06,5.72E+08,0
289,9971.2,6371.34,11626.8,47.4952,48.8793,1.31E+06,5.49E+08,0
290,11240,6684.21,8841.39,46.6962,48.8655,1.33E+06,5.61E+08,0
291,12220.5,7265.16,8792.2,46.628,48.8557,1.36E+06,5.80E+08,0
292,13002,6396.35,8833.4,46.249,48.8358,1.39E+06,5.98E+08,0
293,13623.5,6385,8825.3,45.8395,48.8308,1.41E+06,6.09E+08,0
294,14130.1,6507.18,8828.43,45.0956,48.8153,1.42E+06,6.18E+08,0
295,14530.8,7171.84,8796.87,44.5296,48.7888,1.45E+06,6.37E+08,0
296,14839.4,7590.11,8798.98,44.221,48.774,1.46E+06,6.47E+08,0
297,12614,7955.86,8752.16,44.5989,48.7553,1.47E+06,6.52E+08,0
298,13008.9,8355.06,8649.38,44.3276,48.7541,1.49E+06,6.62E+08,0
299,13274.2,7026,8683.79,43.6547,48.7421,1.49E+06,6.63E+08,0
300,13448.9,7316.61,8622,42.9651,48.7271,1.51E+06,6.59E+08,0
