Iteration,Vx Vel,Vy Vel,Vz Vel,Pressure,Temp,TKE,TED,Scalar
203,521.65,613.838,497.335,0.356917,62.1585,80343.1,2.08022e+07,0
204,532.037,449.7,507.247,0.372204,61.9809,82738.1,2.17388e+07,0
205,542.991,588.289,516.823,0.387663,61.8151,85164.2,2.27016e+07,0
206,554.038,777.686,526.836,0.403689,61.6604,87614.9,2.3688e+07,0
207,564.976,691.506,536.597,0.419317,61.4982,90089.4,2.46981e+07,0
208,575.894,706.946,546.486,0.434692,61.368,92586.5,2.57316e+07,0
209,586.517,643.584,557.27,0.450801,61.2281,95104.4,2.67878e+07,0
210,600.094,442.829,566.39,0.466663,61.0774,97638.8,2.78652e+07,0
211,609.427,311.626,577.72,0.482989,60.9099,100186,2.89619e+07,0
212,620.979,312.21,587.847,0.499834,60.7377,102736,3.00742e+07,0
213,631.163,448.318,597.375,0.516141,60.5748,104569,3.08791e+07,0
214,640.633,418.137,606.167,0.53303,60.414,106288,3.16409e+07,0
215,649.264,534.643,615.092,0.549916,60.2495,108083,3.24448e+07,0
216,657.294,542.869,622.527,0.56669,60.0896,110005,3.33141e+07,0
217,664.844,639.137,629.523,0.584247,59.9439,112031,3.42387e+07,0
218,671.998,488.229,638.106,0.600276,59.8112,114143,3.52119e+07,0
219,679.041,835.148,648.041,0.616342,59.6354,116317,3.62227e+07,0
220,685.851,621.969,655.171,0.632671,59.426,118517,3.72553e+07,0
221,692.165,573.666,662.233,0.649044,59.2437,120710,3.82938e+07,0
222,698.304,934.054,669.436,0.664729,59.0771,122885,3.93333e+07,0
223,704.089,1391.16,676.275,0.681119,58.9218,125027,4.03658e+07,0
224,709.741,1592.08,684.127,0.697262,58.7399,127126,4.13862e+07,0
225,714.884,1611.39,695.387,0.712863,58.5659,129171,4.2388e+07,0
226,720.037,1609.32,700.433,0.736899,58.3572,131149,4.33647e+07,0
227,724.045,1550.26,706.784,0.753773,58.1031,133040,4.43051e+07,0
228,726.913,1515.69,710.763,0.783299,57.7851,134812,4.51926e+07,0
229,729.654,1585.83,714.951,0.808435,57.4686,136450,4.60175e+07,0
230,731.84,1653.35,718.444,0.832027,57.0607,137951,4.67782e+07,0
231,733.217,1713.58,721.371,0.854626,56.6682,139299,4.74644e+07,0
232,733.939,1768.01,721.82,0.87816,56.359,140482,4.80695e+07,0
233,733.95,1820.13,721.713,0.899696,55.9987,141520,4.86026e+07,0
234,1050.44,1879.24,720.371,0.919867,55.7669,142404,4.90579e+07,0
235,735.688,1927.26,931.09,0.939826,55.5866,143133,4.9435e+07,0
236,735.355,1975.92,761.585,0.962736,55.6226,143683,4.97196e+07,0
237,770.967,2006.91,739.423,1.04456,55.758,144070,4.99201e+07,0
238,1214.23,2049.2,783.71,1.15968,55.9572,144267,5.00221e+07,0
239,1023.69,2095.07,823.983,1.27636,56.1341,144280,5.00289e+07,0
240,1041.69,2106.11,864.058,1.3952,56.1597,144057,4.99128e+07,0
241,1005.02,2185.42,900.038,1.49266,56.1252,143992,4.9879e+07,0
242,1068.22,2203.47,933.989,1.61496,56.0381,143756,4.97563e+07,0
243,1127.93,2252.88,979.377,1.7398,55.9393,143242,4.94902e+07,0
244,1595.25,2302.34,1030.17,1.83993,55.6607,142450,4.90806e+07,0
245,1284.38,2370.07,1083.18,1.95522,55.5449,141332,4.85045e+07,0
246,1701.38,2399.66,1194.44,2.04845,55.431,139914,4.77778e+07,0
247,1326.73,2083.79,1179.45,2.12008,55.3442,138187,4.68973e+07,0
248,1653.88,2116.77,1225.9,2.19214,55.248,136154,4.58678e+07,0
249,1784.86,2143.25,1346.39,2.26437,55.1604,133797,4.46847e+07,0
250,1469.52,2170.73,1311.21,2.32623,55.0038,133507,4.33486e+07,0
251,2064.47,2182.73,1348.87,2.3651,54.907,140274,4.18658e+07,0
252,1515.36,2210.79,1382.12,2.40273,54.7146,146687,4.52187e+07,0
253,1556.91,2240.05,1415.89,2.42711,54.6337,152739,4.86957e+07,0
254,1596.47,2271.42,1441.44,2.46432,50.4304,158409,5.20056e+07,0
255,1624.71,2292.42,1465.45,2.49957,52.7547,163251,5.52334e+07,0
256,1690.93,2310.7,1490.54,2.54411,53.7161,168116,5.86443e+07,0
257,1881.41,2331.6,1510.97,2.57415,54.1122,172954,6.20877e+07,0
258,2025.53,2344.18,1649.75,2.61779,54.2237,177579,6.53194e+07,0
259,2089.93,2361.63,1810.05,2.63128,54.2758,181884,6.85583e+07,0
260,2273.82,2378.37,1570.79,2.67365,54.2093,185874,7.27052e+07,0
261,1908.09,2395.42,1765.96,2.69239,54.1667,189547,7.64803e+07,0
262,1829.04,2411.13,1600.33,2.73177,54.09,192961,8.00135e+07,0
263,1867.86,2429.98,1614.36,2.75283,54.0183,196695,8.33047e+07,0
264,1901.33,2446.73,1626.26,2.79349,53.9371,201547,8.63952e+07,0
265,1930.7,2463.99,1638.91,2.81004,53.8903,206084,8.932e+07,0
266,1961.67,2486.27,1657.54,2.83929,53.8007,210599,9.22667e+07,0
267,1987.55,2504.11,1663.66,2.87223,53.7499,215282,9.5359e+07,0
268,1856.18,2523.88,1672.83,2.91238,53.693,219848,9.84065e+07,0
269,1856.44,2543.83,1680.41,2.92816,53.6721,223630,1.0095e+08,0
270,1868.32,2565,1694.14,2.96928,53.6347,226744,1.03059e+08,0
271,1879.9,2586.05,1712.35,2.97394,53.6189,229612,1.05015e+08,0
272,1894.02,2605.59,1724.75,3.00999,53.5892,232535,1.07025e+08,0
273,1910.92,2624.7,1743.22,3.03873,53.5698,235744,1.09248e+08,0
274,1928.56,2645.26,1772.56,3.07822,53.5219,239223,1.11676e+08,0
275,1947.91,2663.09,1784.38,3.11661,53.4915,243059,1.14375e+08,0
276,1966.62,2681.75,1796.99,3.18104,53.4561,247079,1.17226e+08,0
277,1986.44,2698.87,1812.73,3.25227,53.4217,251267,1.2022e+08,0
278,2005.66,2715.68,1829.13,3.32144,53.3569,255539,1.233e+08,0
279,2024.95,2731.69,1848.22,3.39823,53.3107,259837,1.26406e+08,0
280,2043.6,2746.81,1863.42,3.47622,53.2704,264360,1.29551e+08,0
281,2061.9,2760.84,1878.58,3.55249,53.2316,275117,1.35939e+08,0
282,2079.63,2774.75,1899.3,3.62525,53.1952,276642,1.36987e+08,0
283,2097,2788.11,1913.32,3.70849,53.182,285855,1.43895e+08,0
284,2113.71,2800.14,1917.43,3.79446,53.1772,286464,1.44306e+08,0
285,2129.51,2811.6,1921.69,3.87721,53.1776,284385,1.44679e+08,0
286,2143.93,2822.75,1944.53,3.95873,53.1749,291991,1.48503e+08,0
287,2158.12,2831.32,1971.01,4.03888,53.1767,292692,1.50063e+08,0
288,2171.58,2840.78,1982.38,4.10976,53.1848,294507,1.52539e+08,0
289,2183.45,2848.04,1990.68,4.18542,53.1952,298947,1.54902e+08,0
290,2195.05,2855.58,1997.97,4.26282,53.1903,300336,1.57085e+08,0
291,2205.46,2861.71,2013.08,4.33234,53.2071,304491,1.59137e+08,0
292,2215.43,2867.09,2019.59,4.40557,53.2068,308294,1.62383e+08,0
293,2224.15,2871.02,2016.74,4.46967,53.2456,312128,1.65414e+08,0
294,2231.92,2875.59,2018.69,4.52917,53.22,316060,1.68546e+08,0
295,2239.11,2877.99,2032.61,4.58304,53.2044,319903,1.71628e+08,0
296,2244.52,2881.17,2034.9,4.63586,53.3485,322644,1.73832e+08,0
297,2250.24,2882.49,2028.65,4.69045,53.4795,325479,1.76126e+08,0
298,2252.5,2884.59,2034.98,4.72951,53.6035,327268,1.77575e+08,0
299,2255,2884.86,2046.93,4.77012,53.58,329238,1.79179e+08,0
300,2256.96,2885.32,2047.98,4.8055,53.5926,331235,1.80811e+08,0
